index,product,category,sub_category
11406,Choco Deck Chocolate - Fruit & Nut,Snacks & Branded Foods,Chocolates & Candies
11407,Grass Fed Whey Protein Isolate - Gluten Free,Beauty & Hygiene,Health & Medicine
11408,Dark - Button Chocolate,Gourmet & World Food,Cooking & Baking Needs
11409,Mystic Rose - Toilet Air Freshener,Cleaning & Household,Fresheners & Repellents
11410,Parwal,Fruits & Vegetables,Fresh Vegetables
11411,"Bath Loofah - White, Colour May Vary",Beauty & Hygiene,Bath & Hand Wash
11412,9 to 5 Eye Color Quartet Eye Shadow,Beauty & Hygiene,Makeup
11413,Premium Flavoured Tea Blend - Masala Chai,Gourmet & World Food,Drinks & Beverages
11414,Chicken Seekh Kabab Malai N Cheese,"Eggs, Meat & Fish","Sausages, Bacon & Salami"
11415,Refreshing Peppermint Soap,Beauty & Hygiene,Bath & Hand Wash
11416,"Steel Storage/Lunch Container- No.30, Grey, Klip It","Kitchen, Garden & Pets",Steel Utensils
11417,Choco Stick - Hexagon Pack,Gourmet & World Food,Chocolates & Biscuits
11418,Chicken Cheese & Chiili  Sausage - Beechwood Smoked,"Eggs, Meat & Fish","Sausages, Bacon & Salami"
11419,Mehndi - Brown,Beauty & Hygiene,Hair Care
11420,Tender Coconut - Medium,Fruits & Vegetables,Cuts & Sprouts
11421,Top Speed Hair Color,Beauty & Hygiene,Hair Care
11422,Papad - Punjabi Masala,Snacks & Branded Foods,Ready To Cook & Eat
11423,Cleaning Brush - Soft Grip Ladybird Shape,Cleaning & Household,"Mops, Brushes & Scrubs"
11424,"Body Wash - Lavender & Almond Oil, Nourishing & Moisturising Shower Crème",Beauty & Hygiene,Bath & Hand Wash
11425,Healthy Atta,Gourmet & World Food,Cooking & Baking Needs
11426,33% Creamy Milk Chocolate,Gourmet & World Food,Chocolates & Biscuits
11427,Moroccan Mint Green Tea,Gourmet & World Food,Drinks & Beverages
11428,Club Soda - Evervess,Beverages,Energy & Soft Drinks
11429,"Pork - Ham BBQ, Sliced","Eggs, Meat & Fish","Sausages, Bacon & Salami"
